thumbnail_key,roblox_asset_id,filename,description,prompt,source_thumbnail_id,generated_at,activated_at,deactivated_at,status
thumb-001,105752602804018,thumb-001.png,"A cute, fluffy light-green caterpillar with huge glossy green eyes, rosy cheeks, and curved antennae smiles softly in an eye-level, centered macro shot. Rendered in a whimsical 3D digital art style, the scene is bathed in warm golden sunlight amidst a lush, colorful field of soft-focused wildflowers.",,,,2026-09-09T01:55:58Z,,active
thumb-002,86495998669034,thumb-002.png,"A vibrant, cute 3D cartoon scene features a colorful pink and blue butterfly flying centrally beneath the bold white text ""butterfly life"". Surrounding it on lush green rolling hills are a cheerful green caterpillar, a fluffy baby owl, a small bee, and a bright rainbow under a sunny blue sky. Shot from a wide, eye-level angle, the scene is filled with saturated, happy colors and small white daisies scattered in the grass.",,,,2026-09-09T01:55:58Z,2026-09-09T13:09:36Z,inactive
thumb-003,80777415079298,thumb-003.png,"A bright, glossy 3D cartoon scene features a colorful pink and purple butterfly flying centered above rolling green hills beneath a vibrant rainbow and glowing sun. On the grassy foreground below sit a cute green caterpillar and a fluffy baby owl, with a small bee flying overhead in the clear blue sky. Captured from a wide front angle, the landscape is filled with saturated colors and small white daisies.",,,,2026-09-09T01:55:58Z,2026-09-09T02:02:04Z,inactive
thumb-004,115018485400141,thumb-004.png,"Shot from a low ground angle on a grassy hill, this glossy 3D cartoon scene features a cheerful green caterpillar and scattered frosted donuts alongside a flying, vibrant pink butterfly. Overhead, colorful 3D text reading ""butterfly life"" sits beneath a vibrant rainbow, while an owl, turtle, bee, and sunflowers decorate the bright, sunny landscape.",,,,2026-09-09T01:55:58Z,2026-09-09T02:02:04Z,inactive
thumb-005,135302046982289,thumb-005.png,"A colorful low-poly 3D scene features bold rounded black text reading ""butterfly life"" above a large, vibrant orange monarch butterfly hovering in the center. A low-angle camera perspective looks across rolling green hills covered in bright flowers, stylized trees, a rainbow, and a light blue sky populated by a cute bee and smaller butterflies. The art style is playful and bright, utilizing a cheerful, vivid palette of greens, blues, pinks, and yellows.",,,,2026-09-09T01:55:58Z,2026-09-09T02:02:04Z,inactive
thumb-006,119378623691930,thumb-006.png,"A vibrant 3D cartoon scene features a large, colorful pink and blue butterfly flying in the center above a sunny flower field. In the foreground sit a cute green caterpillar and a fluffy baby owl, surrounded by yellow sunflowers, daisies, and a smiling bee in the air. Rolling green hills under a bright blue sky with a rainbow and the bold text ""butterfly life"" complete the background.",,,,2026-09-09T01:55:58Z,2026-09-09T02:02:04Z,inactive
thumb-007,93423649249126,thumb-007.png,"A vibrant, cute 3D cartoon render features a glowing pink and blue butterfly flying centrally over a sunny meadow filled with colorful flowers and a rainbow. In the foreground, a smiling green caterpillar sits on the left and a fluffy cute owl rests on the right amidst sunflowers. Bold white text reading ""butterfly life"" with a small blue butterfly icon sits prominently at the top against a bright blue sky.",,,,2026-09-09T01:55:58Z,2026-09-09T13:09:36Z,inactive
thumb-008,90755579409823,thumb-008.png,"Bold 3D cartoon text reading ""butterfly life"" with a blue butterfly icon hovers at the top of a colorful, low-angle scene. A prominent pink and purple butterfly flies centrally above a sunlit field of wildflowers, joined by a smiling green caterpillar, a fluffy owl, a turtle, and a bee. The background features bright rolling green hills, a vibrant rainbow, and a clear blue sky in a cheerful 3D animated style.",,,,2026-09-09T01:55:58Z,2026-09-09T02:02:04Z,inactive
thumb-009,83635153368591,thumb-009.png,"An eye-level 3D digital render features a fluffy bright-green caterpillar smiling happily at an ornate golden butterfly perched on a white daisy. The duo rests on a mossy mound dotted with dew-covered clovers against a soft, blurred pastel garden background. Lush greens, rich gold, and gentle sunlight create a vibrant, whimsical atmosphere.",,,,2026-09-09T01:55:58Z,2026-09-09T02:02:04Z,inactive
thumb-010,131322914796621,thumb-010.png,"A cute, fluffy green caterpillar smiles up at a metallic gold, stained-glass butterfly resting on a white daisy. Shot from a low macro perspective, this 3D digital render features vibrant greens, golds, and soft outdoor lighting. The scene is set outdoors against a dreamy, blurred garden background filled with moss and clovers.",,,,2026-09-09T01:55:58Z,2026-09-09T13:09:36Z,inactive
